Filename,0_13.csv
3151,DROPOUT,DROPOUT,GRADUATE,DROPOUT,1707902960.081791,1707902960.593191,1707902962.8465211
3278,DROPOUT,DROPOUT,GRADUATE,DROPOUT,1707902966.04774,1707902966.7016199,1707902969.086048
2358,GRADUATE,GRADUATE,GRADUATE,GRADUATE,1707903041.3475032,1707903042.0119302,1707903044.914392
1042,GRADUATE,GRADUATE,GRADUATE,GRADUATE,1707903049.553382,1707903050.5683541,1707903062.711453
3709,DROPOUT,GRADUATE,GRADUATE,GRADUATE,1707903067.0850282,1707903068.1330812,1707903071.1397161
3245,DROPOUT,DROPOUT,GRADUATE,DROPOUT,1707903072.611682,1707903073.35377,1707903077.3082938
66,GRADUATE,GRADUATE,GRADUATE,GRADUATE,1707903078.775661,1707903079.340773,1707903082.0090618
1409,GRADUATE,GRADUATE,GRADUATE,GRADUATE,1707903083.0799448,1707903083.5265348,1707903086.781259
3676,GRADUATE,DROPOUT,GRADUATE,DROPOUT,1707903088.635669,1707903089.1822321,1707903095.1364532
4421,DROPOUT,DROPOUT,GRADUATE,DROPOUT,1707903096.6566021,1707903097.1903172,1707903099.94313
