Filename,0_14.csv
223,GRADUATE,GRADUATE,GRADUATE,GRADUATE,1707903539.674617,1707903540.1692228,1707903542.3711958
1042,GRADUATE,GRADUATE,GRADUATE,GRADUATE,1707903543.676377,1707903544.156734,1707903546.058523
3576,GRADUATE,GRADUATE,GRADUATE,GRADUATE,1707903547.1795032,1707903547.694222,1707903551.133216
3027,DROPOUT,DROPOUT,GRADUATE,DROPOUT,1707903552.3164191,1707903553.017097,1707903556.268196
2609,DROPOUT,DROPOUT,GRADUATE,DROPOUT,1707903557.519456,1707903558.020221,1707903559.9535801
3709,DROPOUT,GRADUATE,GRADUATE,GRADUATE,1707903561.371165,1707903561.8707101,1707903563.941037
68,DROPOUT,GRADUATE,GRADUATE,GRADUATE,1707903565.092096,1707903565.541815,1707903567.5272079
1125,GRADUATE,GRADUATE,GRADUATE,GRADUATE,1707903568.697231,1707903569.2132769,1707903571.245194
3988,GRADUATE,GRADUATE,GRADUATE,GRADUATE,1707903572.215861,1707903572.7466931,1707903574.615573
3245,DROPOUT,DROPOUT,GRADUATE,DROPOUT,1707903575.768776,1707903576.319391,1707903578.0509639
1,50
2,FEMALE
3,YES,4235
4,435
know,STRONGLY DISAGREE
fai_3,DISAGREE
fai_1,NEUTRAL
com_1,AGREE
com_3,STRONGLY AGREE
fai_4,AGREE
rel_5,NEUTRAL
fai_5,DISAGREE
rel_1,STRONGLY DISAGREE
com_2,DISAGREE
fai_2,NEUTRAL
rel_2,AGREE
com_5,STRONGLY AGREE
