Filename,0_10.csv
3224,DROPOUT,GRADUATE,GRADUATE,GRADUATE,1707901764.9696178,1707901766.0007539,1707901769.254669
66,GRADUATE,GRADUATE,GRADUATE,GRADUATE,1707901770.955956,1707901771.406049,1707901774.7907069
1042,GRADUATE,GRADUATE,GRADUATE,GRADUATE,1707901776.294016,1707901776.9443998,1707901779.179436
1050,GRADUATE,GRADUATE,GRADUATE,GRADUATE,1707901780.699649,1707901781.49765,1707901784.149647
503,DROPOUT,DROPOUT,GRADUATE,DROPOUT,1707901785.485591,1707901786.235507,1707901789.171669
3647,DROPOUT,DROPOUT,GRADUATE,DROPOUT,1707901790.689059,1707901791.6747892,1707901793.9723861
4421,DROPOUT,DROPOUT,GRADUATE,DROPOUT,1707901795.2606568,1707901796.191295,1707901798.728441
533,DROPOUT,DROPOUT,GRADUATE,DROPOUT,1707901800.0397282,1707901800.698765,1707901802.7477171
4107,DROPOUT,GRADUATE,GRADUATE,GRADUATE,1707901803.950031,1707901804.533644,1707901806.767301
2980,GRADUATE,DROPOUT,GRADUATE,DROPOUT,1707901808.1535192,1707901808.701289,1707901810.654429
